爱憎分明|爱和恨的界限十分清楚，态度十分鲜明。憎：恨，厌恶。
安然无恙|形容人或物平安无事，没有遭受到任何损害。安然：平安；恙：疾病。
拔苗助长|比喻违反事物发展规律，急于求成，结果反而把事情办坏了。
跋山涉水|翻越山岭，趟水过河，形容旅途艰苦。跋：在山上行走；涉：从水上经过，渡。
百看不厌|对喜欢的人、事物等看多少遍都不厌倦，比喻非常喜欢。
班门弄斧|比喻在行家面前卖弄，狂妄无知，又是也做自谦词。班：巧匠鲁班。
搬弄是非|把别人背后说的话传来传去，蓄意挑拨，或在别人背后乱加议论，引起纠纷。搬弄：挑拨。
变本加厉|形容情况变得比原来更加严重。本：原来；厉：猛烈。
变幻莫测|变化多端，无法揣测。变幻：不规则地改变。
别具匠心|另有一种巧妙的心思（多指文学、艺术方面创造性的构思）。匠心：巧妙的心思。
不耻下问|不以向不如自己的人请教为耻辱，形容虚心请教。耻，耻辱。
不可救药|病重到已无法救治，比喻人或事物到无法挽救的地步。药：用药治疗。
不可思议|不可想象，难以理解。
不能自已|不能控制自己的感情。已：停止。
不屈不挠|指在逆境中或恶势力、苦难面前不屈服、不低头。屈：屈服；挠：弯曲。
不速之客|没有受到邀请而自己来的客人。速：邀请。
不屑置辩|认为不值得辩论。屑：认为值得；
不言而喻|不用说就可以明白。喻，明白，了解。
不约而同|没有事先商量而彼此见解或行动一致。
不折不扣|不打折扣，表示十足彻底。折：折扣。
畅所欲言|尽情地说出想说的话。畅：痛快，尽情。
车水马龙|车像流水，马如游龙，形容车马或车辆很多，来往不绝。
称心如意|指完全合乎心意。称：适合，相对；如：适合。
承前启后|继承前代的并启发后代的（多用于学问、事业等）。承：继续，接续；启：打开，开创。
诚心诚意|心意很真诚。
触景生情|受到当前情景的触动而产生某种感情。
唇亡齿寒|比喻双方利害相关。
春和景明|春风和煦，风光明丽。和：温和，和煦；景，日光。
春华秋实|春天开花，秋天结果。华：同：“花”。
当之无愧|承受某种荣誉或称号，没有丝毫愧色。当：承当，承受。
道听途说|从道路上听到，在道路上传说，指传闻的，没有根据的话。
得不偿失|得到的抵不上失去的偿：抵补。
滴水穿石|水不断下滴，可以闹穿石头。比喻只要有恒心，不断努力，事情一定成功。
断壁残垣|残缺不全的墙壁，形容房屋遭受破坏后的凄凉景象。垣：墙。
风调雨顺|指风雨适合农时。调：配合得均匀合适。
峰回路转|形容山峰、道路迂回曲折，有时也比喻经过挫折后出现转机。回：曲折环绕。
赴汤蹈火|比喻不避艰险。汤：沸水；蹈：踩。
高屋建瓴|形容居高临下，占有无法阻挡的有利形势。建：倾倒；瓴：盛水的瓶子。
刚正不阿|刚强正直，不阿谀奉承。阿：迎合，偏袒。
各持己见|各自坚持自己的意见或见解。持：坚持。
各得其所|每一个人或事物都得到合适的安顿。所：处所。
各尽所能|每个人把自己的才能最大限度地贡献出来。
各行其是|各自按照自己认为对的去做。行：行动；是：对，正确。
根深蒂固|根扎得深，花和瓜果就长得牢，比喻基础稳固，不易动摇。蒂：植物的花、果与枝茎相连的部分。
骇人听闻|使人听了非常吃惊（多指社会上发生的坏事）。骇：惊吓，震惊。
好意难却|善良得心意难以拒绝。却：推辞，拒绝。
厚此薄彼|重视或优待一方，轻视或慢待另一方，指对人或事不同等对待。厚：优待，重视；薄：轻视，慢待。
豁然开朗|由昏暗狭窄一下变为开阔敞亮，也比喻开始不明白，突然间一下子全明白了。豁然：开阔敞亮的样子。
鸡犬相闻|鸡狗的叫声能够相互听得到。
记忆犹新|过去的事情记得很清楚，就像新近发生的一样。犹：仍然，还。
家喻户晓|每家每户都知道。喻：明白：晓：知道。
坚定不移|形容毫不动摇。移：改变，动摇。
见异思迁|看见不同的事物就改变主意，指意志不坚定，喜爱不专一。异：不同的；迁：改变。
今非昔比|现在不是从前所能比得上的。昔：从前。
斤斤计较|形容过分计较微小的利益或无关紧要的事情。斤斤：过分计较。
津津有味|形容很有滋味或很有趣味。津津：有滋味，有趣味。
惊慌失措|害怕、慌张得不知怎么办才好。措：安排，处置。
精打细算|（在使用人力、物力上）仔细地计算。
精雕细刻|精心细致地雕刻，比喻做事认真细致。
井然有序|整齐不乱，次序分明。井然：整齐的样子。
迥然不同|差别很大，完全不一样。迥：差得远。
居高临下|占据高处，面对低处。居：处；临：面对。
举世闻名|全世界都知道其名声，形容声誉极高。举：全；闻名：有名。
举一反三|从一件事情类推而知道许多事情。举：提出；反：类推。
可歌可泣|令人歌颂赞美，感动流泪，指英勇悲壮的事迹，使人感动。
刻舟求剑|比喻办事刻板、拘泥，不知变通。
扣人心弦|形容诗文，表演等感有感染力，使人心情激动。心弦：受感动而起共鸣的心。
夸夸其谈|说话写文章浮夸不切实际。
脍炙人口|美味人人都爱吃，比喻好的诗文或事物人人都爱好称赞。脍：切得很细的鱼和肉；炙：烤熟的肉。
滥竽充数|比喻没有真才实学的人混在行家队伍里面充数，或以次充好。滥：与真实不符的；充数：凑数。
理直气壮|理由充足因而说话有气势。直：公正的，正义的。
力挽狂澜|比喻尽力扭转险恶的局势或制止不正的风气。挽：扭转，挽回；狂澜：汹涌的波浪。
历历在目|形容清楚分明地展现在眼前。历历：一个一个清清楚楚的。
两全其美|做事顾全双方，使两者都得到好的结果。全：保全，使完整不缺。
流连忘返|形容留恋于美丽的景色或其他美好的事物，舍不得离去。流连：迷恋于游乐；返：同“反”，回，归。
流离失所|到处流浪，没有安身的地方。流离：由于灾荒战乱而流转离散。
络绎不绝|形容过往人马或车船等前后相接，连续不断。络绎：接连不断；绝：断绝。
落英缤纷|落花繁多而凌乱。英：花；缤纷：繁多而凌乱。
满载而归|装满了东西回来，形容收获极丰富。
买椟还珠|比喻取舍不当，也比喻舍本逐末。
漫不经心|随随便便，不放在心上。漫：不受约束，随便。
茅塞顿开|原来心里好像有茅草堵塞着，现在忽然被打开了，形容顿时理解、领会。
美不胜收|美好的东西太多，一时接受不完（看不过来）。胜：能够承担或承受。
门庭若市|门口和庭院热闹得像集市一样，形容交际来往的人很多，十分热闹。
名副其实|名称或名分与实际相符合。名：名声；副：符合。
名列前茅|指名次排列在前面。名：名次。
名正言顺|名义正当，道理也讲得通。名：名义。
莫名其妙|没有人能说出它的奥妙道理，表示事情很奇怪，使人不明白。名：说出。
漠不关心|形容对人或事物冷淡，一点也不关心。漠：冷淡。
默默无闻|不出名或不为人知道。
难以置信|难于相信。
迫不得已|迫于无奈，不由得不那样做。迫：逼迫，强迫。
破釜沉舟|比喻下最大的决心，不顾一切地干到底。釜：锅。
其乐无穷|其中的乐趣没有穷尽，形容某事或某活动充满了乐趣。穷：穷尽。
其貌不扬|形容人或貌很平常或丑陋难看。扬：容貌好看。
气象万千|形容景色和事物多种多样，非常壮观。
恰如其分|说话或办事正合分寸。恰：恰恰，正；分：职责权利等的限度。
千姿百态|形容姿态多种多样，各不相同。
牵强附会|把关系不大的事物勉强地扯在一起。牵强：勉强把两件没有关系或关系很远的事物拉在一起。附会：把没有关系的事物说成有关系，把没有某种意义的事物说成有某种意义。
前赴后继|形容奋勇前进，连续不断。赴：去；继：继续，接着。
巧妙绝伦|精巧奇妙的，没有可以相比的。绝伦：独一无二的，没有可以相比的；伦：同类，同等。
轻而易举|形容事情很容易做。举：往上托，往上伸。
情不自禁|抑制不住自己的感情。禁：忍住。
情真意切|感情真挚，心意殷切。切：急切、殷切。
全神贯注|全副精力高度集中。神：精神、精力集中；全：整个。
人声鼎沸|人声喧闹。鼎：古代三足两耳的煮东西的器物；沸，水开。
忍俊不禁|忍不住笑。禁：忍住。
任劳任怨|做事不辞劳苦，不怕别人埋怨。任：担当；怨：责怪。
锐不可当|形容来势凶猛，不可阻挡。锐：锐利；当：抵挡。
三顾茅庐|比喻诚心诚意地邀请或过访。顾：拜访。
赏心悦目|因欣赏美好的景色而心情舒畅。
舍生取义|为正义牺牲生命。义：公正合理的道理，正义。
身临其境|亲自到了那个境地。临：到；境：地方、境地。
深恶痛疾|厌恶、痛恨到了极点。恶：厌恶；疾：痛恨。
声色俱厉|说话时声音和脸色都非常严厉。色：脸色；俱：都；厉：厉害。
失魂落魄|形容心神不定非常惊慌的样子。
诗情画意|诗画一般的美好意境。
世外桃源|比喻不受外界影响的地方或理想中的美好地方。
势不两立|指敌对的事物不能同时存在。势：状况，情势；立：存在，生活。
守株待兔|比喻死守狭隘的经验，不知变通。也比喻企图不通过主观努力而侥幸成功的心理。
首屈一指|扳指头记数时，首先弯下大拇指，表示第一，指居第一位。屈：弯曲。
首当其冲|比喻首先受攻击或遭灾难。首：最先；冲：要冲，交通要道。
水落石出|水落下去，石头就露出来，比喻真相大白。落：下降；出：显露。
水乳交融|水和乳汁混合在一起，比喻意气相投，感情融洽。
水涨船高|水位上涨，船体也随着上升，比喻事物随着他所凭借的基础而增长。
四面楚歌|比喻四面受敌，孤立无援的困境。
素不相识|向来不认识。素：向来，素来。
随波逐流|随着波浪起伏，跟着水流飘荡。比喻自己没有主见，只是随着别人走。逐：追赶。
随声附和|自己没有主见，别人说什么就跟着说什么。随：跟随；附和：（言语行动）追随别人，多用于贬义。
谈笑风生|形容谈话时又说又笑，兴致很高，并且很有风趣。
叹为观止|赞美所看到的事物号到了极点。叹：赞叹；止：停止；观止：看到这里就停止。
甜言蜜语|为了达到讨好或哄骗人的目的而说的让人爱听的话。
铁杵磨针|比喻有恒心肯努力，做任何事情都很成功。
推陈出新|推去旧的，产生新的。后多指在文化艺术方面去掉旧的糟粕，吸取其精华，创造出新的来。推：排除；陈：旧的。
完璧归赵|比喻将原物完好的归还原主。完：完整，完好；璧：古代一种圆形扁平中间有孔的玉器。
万籁俱寂|形容周围环境非常宁静。籁：从孔穴里发出的声音，泛指声音；俱：全，都。
亡羊补牢|比喻出了差错及时设法补救，也指出了问题才想法补救，已经太晚了。亡：丢失；牢：牲口圈。
妄自菲薄|过分地看轻自己。妄：不合理的，无根据的；菲薄：瞧不起。
闻鸡起舞|比喻有志者及时奋发。闻：听到。
唯利是图|只贪图利益不顾及其他。唯：只，仅；是：复指代词，指前面的“利”；图：贪图。
温故知新|温习旧的知识而得到新的认识和体会，也指回忆过去，认识现在。
无边无垠|没有边际。垠：界限，边际。
无动于衷|内心毫无触动，指对于应该关心的事毫不关心。衷：内心。
无精打采|形容精神不振，提不起劲头。采：神采。
无缘无故|没有什么原因，平白无故。
息息相关|呼吸时进出的气息相互关连，形容关系或联系非常密切。息息：呼吸进出的气息。
洗耳恭听|形容专心而恭敬地听，常用作请人讲话的客气话。
喜不自胜|高兴得自己都承受不起，形容非常高兴。胜：能够承担或承受。
喜出望外|出乎意料的高兴。望：希望、意料。
鲜为人知|很少被人知道。鲜：少。
闲情逸致|指悠闲的心情和安逸的兴致。逸：安闲；致：情趣。
相得益彰|两个人或两件事物相互配合，双方的能力和作用更能显示出来。益：更加；彰：明显。
相辅相成|两种事物互相辅助，互相促成，缺一不可。辅：辅助，帮助。
相提并论|把不同的人或不同的事物放在一起谈论或看待。提：提出，举出。
小心翼翼|形容举动十分谨慎，丝毫不敢疏忽。翼翼：严肃认真。
心驰神往|心神奔向所向往的事物，形容一心向往。驰：（心神）向往。
心旷神怡|心境开阔，精神愉快。旷：开阔；怡：愉快。
心平气和|心情平静，态度温和，指不急躁、不生气。和：平和，和缓。
心悦诚服|由衷地高兴，真心地服气，指真心地服气或服从。悦：愉快，高兴；诚：真心。
欣喜若狂|形容高兴到了极点。欣喜：快乐；若：好像；狂：失去控制。
星罗棋布|像天空的星星和棋盘上的棋子那样分布着，形容数量很多，分布很广。罗：罗列；布：分布。
胸有成竹|原指画竹子要在心里有一幅竹子的形象，后比喻在做事之前已经拿定主意。
栩栩如生|指艺术形象非常逼真，如同活的一样。栩栩：活泼生动的样子。
轩然大波|高高涌起的波涛，比喻大的纠纷或乱子。轩然：波涛高高涌起的样子；轩：高。
悬梁刺股|形容刻苦自学。梁：屋梁；股：大腿。
鸦雀无声|连乌鸦麻雀的声音都没有，形容非常静。
言简意赅|话不多，但意思都有了，形容说话写文章简明扼要。赅：完备，全。
眼花缭乱|看见复杂纷繁的东西而感到迷乱，也比喻事物复杂，无法辨清。缭乱：纷乱。
杳无音信|没有一点音信。杳：远得不见踪影。
夜以继日|晚上连着白天，形容加紧工作或学习。继：继续，接续。
一碧万顷|形容青绿无际。
一筹莫展|一点计策也施展不出，一点办法也想不出。筹：计策，办法；展：施展。
一鼓作气|第一次击鼓能够振作士气。一鼓：第一次击鼓；作：振作；气：士气。
一劳永逸|辛苦一次，把事情办好，以后就可以不再费力了。逸：安乐，安闲。
一望无际|一眼望不到边，形容非常辽阔。际：边。
一语双关|一句话包含两个意思。
依然如故|指人没有长进，还是从前的老样子。依然：仍旧；故：过去，从前。
依山傍水|地理位置靠近山岭和水流。傍：靠近。
怡然自乐|形容高兴而满足。怡然：形容喜悦的样子。
义不容辞|道义上不允许推辞。容：允许，让；辞：推辞。
异口同声|不同的嘴说出相同的话，指大家说得都一样。
异想天开|形容想法离奇，不切实际。异：奇异。
抑扬顿挫|指声音的高低起伏和停顿转折。抑：降低；扬：升高；顿：停顿；挫：转折。
饮水思源|喝水的时候想起水是从哪儿来的。比喻不忘本。
油然而生|自然地产生（某种思想感情）。油然：形容思想感情自然而然地产生。
与日俱增|随着时间一天一天地增长，形容不断增长。与：跟，和；俱：全，都。
再接再厉|比喻继续努力，再加一把劲。接：交锋，接战；厉：磨砺，磨快，引申为奋勉，努力。指公鸡相斗，每次交锋前先磨一下嘴。
载歌载舞|边歌唱，边跳舞，形容尽情欢乐。载：又，且。
张灯结彩|挂上灯笼，系上彩绸，形容节日或有喜庆事情的景象。张：陈设，铺排。
郑重其事|形容说话做事时态度非常严肃认真。郑重：审慎，严肃认真。
中流砥柱|就像屹立在黄河急流中的砥柱山一样，比喻坚强独立的人能在动荡艰难的环境中起支柱作用。砥柱：砥柱山，在三门峡，屹立在黄河激流中；砥：磨刀石。
枝繁叶茂|枝叶繁密茂盛。
装模作样|故意做作，故作姿态。样：模样、姿态。
壮志未酬|旧指潦倒的一生，志向没有实现就衰老了，也指抱负没有实现就去世了。酬：实现。
谆谆教诲|恳切、耐心的教导。谆谆：形容恳切教导。
自得其乐|自己能从中得到乐趣。
自给自足|依靠自己的生产，满足自己的需要。给：供给。
自强不息|自己地努力向上，永不懈怠。自强：自己努力向上；息：停止。
走投无路|无路可走，已到绝境，比喻处境极其困难，找不到出路。投：投奔。
左顾右盼|向左右两边看，形容人骄傲得意的神情。顾、盼：看
